medicineID	medicineName	medicineType	dosageType	drugRoute	company	drug	dosages	activeIngredientUnit	pharmacologicalClasses	category
11	7 select ibuprofen 	Analgesic	TABLET	ORAL	7-Eleven	IBUPROFEN	200	mg/1		HUMAN PRESCRIPTION DRUG
12	7 Select Naproxen Sodium 	Analgesic	TABLET	ORAL	7-Eleven	NAPROXEN SODIUM	220	mg/1		HUMAN PRESCRIPTION DRUG
13	Abstral fentanyl 	Analgesic	TABLET	SUBLINGUAL	"Sentynl Therapeutics, Inc."	FENTANYL CITRATE	100;200	ug/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
14	Acetaminophen And Codeine 	Analgesic	TABLET	ORAL	Par Pharmaceutical	CODEINE PHOSPHATE; ACETAMINOPHEN	15;300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
15	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
16	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	Unit Dose Services	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
17	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	Northwind Pharmaceuticals	CODEINE PHOSPHATE; ACETAMINOPHEN	30;300	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
18	ACETAMINOPHEN AND CODEINE 	Analgesic	TABLET	ORAL	DIRECT RX	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
19	ACETAMINOPHEN AND CODEINE 	Analgesic	TABLET	ORAL	Direct_Rx	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
20	ACETAMINOPHEN AND CODEINE 	Analgesic	TABLET	ORAL	Direct_Rx	CODEINE PHOSPHATE; ACETAMINOPHEN	60;300	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
21	Acetaminophen And Codeine 	Analgesic	TABLET	ORAL	Proficient Rx LP	CODEINE PHOSPHATE; ACETAMINOPHEN	30;300	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
22	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	Proficient Rx LP	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
23	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	Amneal Pharmaceuticals LLC	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
24	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	"NuCare Pharmaceuticals,Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
25	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	Contract Pharmacy Services-PA	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
26	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	"RedPharm Drug, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
27	Acetaminophen And Codeine 	Analgesic	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	CODEINE PHOSPHATE; ACETAMINOPHEN	60;300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
28	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	Bryant Ranch Prepack	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
29	Acetaminophen and Codeine 	Analgesic	TABLET	ORAL	"Asclemed USA, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
30	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"Teva Pharmaceuticals USA, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;15;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
31	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	"Pharmaceutical Associates, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
32	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	SpecGx LLC	ACETAMINOPHEN; CODEINE PHOSPHATE	300;15;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN OTC DRUG
33	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"NCS HealthCare of KY, Inc dba Vangard Labs"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN OTC DRUG
34	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"Aurolife Pharma, LLC"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;15;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
35	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	Atlantic Biologicals Corps	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
36	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	Medsource Pharmaceuticals	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
37	acetaminophen and codeine phosphate 	Analgesic	LIQUID	ORAL	"Mikart, LLC"	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
38	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Lake Erie Medical DBA Quality Care Products LLC	ACETAMINOPHEN; CODEINE PHOSPHATE	300;60;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
39	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	A-S Medication Solutions	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
40	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	A-S Medication Solutions	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
41	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	"Hi-Tech Pharmacal Co., Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
42	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	"Hi-Tech Pharmacal Co., Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	240;24	mg/10mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
43	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	"Hi-Tech Pharmacal Co., Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/12.5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
44	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	"Hi-Tech Pharmacal Co., Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	360;36	mg/15mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
45	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	Mylan Institutional Inc.	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
46	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Cardinal Health	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
47	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	"Clinical Solutions Wholesale, LLC"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
48	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	"Morton Grove Pharmaceuticals, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
49	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	St. Mary's Medical Park Pharmacy	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
50	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Direct_Rx	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
51	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Direct_Rx	CODEINE PHOSPHATE; ACETAMINOPHEN	30;300	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
52	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	DIRECT RX	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
53	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Direct_Rx	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
54	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Proficient Rx LP	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
55	Acetaminophen and Codeine Phosphate 	Analgesic	SOLUTION	ORAL	Proficient Rx LP	ACETAMINOPHEN; CODEINE PHOSPHATE	120;12	mg/5mL	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
56	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	Proficient Rx LP	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
57	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"Sun Pharmaceutical Industries, Inc."	CODEINE PHOSPHATE; ACETAMINOPHEN	60;300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
58	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	Bryant Ranch Prepack	ACETAMINOPHEN; CODEINE PHOSPHATE	300;15;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
59	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"Elite Laboratories, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;15;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
60	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	Contract Pharmacy Services-PA	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
61	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	RedPharm Drug	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
62	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"RedPharm Drug, Inc."	CODEINE PHOSPHATE; ACETAMINOPHEN	30;300	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
63	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
64	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"NuCare Pharmaceuticals, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
65	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"NuCare Pharmaceuticals,Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
66	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	American Health Packaging	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
67	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Preferred Pharmaceuticals Inc.	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
68	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"Preferred Pharmaceuticals, Inc."	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
69	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	REMEDYREPACK INC.	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
70	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	"Denton Pharma, Inc. DBA Northwind Pharmaceuticals"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
71	Acetaminophen and Codeine Phosphate 	Analgesic	TABLET	ORAL	Proficient Rx LP	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
72	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Bryant Ranch Prepack	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
73	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	"Aphena Pharma Solutions - Tennessee, LLC"	ACETAMINOPHEN; CODEINE PHOSPHATE	300;30	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
74	ACETAMINOPHEN AND CODEINE PHOSPHATE 	Analgesic	TABLET	ORAL	Eywa Pharma Inc	ACETAMINOPHEN; CODEINE PHOSPHATE	300;15;30;60	mg/1	"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
75	"Acetaminophen, Caffeine and Dihydrocodeine Bitartrate "	Analgesic	TABLET	ORAL	Larken Laboratories Inc.	ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE	325;30;16	mg/1	"Central Nervous System Stimulant [EPC],Methylxanthine [EPC],Xanthines [CS],Central Nervous System Stimulation [PE],Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
76	"Acetaminophen, Caffeine and Dihydrocodeine Bitartrate "	Analgesic	TABLET	ORAL	"Atland Pharmaceuticals, LLC"	ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE	325;30;16	mg/1	"Central Nervous System Stimulant [EPC],Methylxanthine [EPC],Xanthines [CS],Central Nervous System Stimulation [PE],Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
77	"Acetaminophen, Caffeine, Dihydrocodeine Bitartrate "	Analgesic	CAPSULE	ORAL	"Xspire Pharma, Llc"	ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE	320.5;30;16	mg/1	"Central Nervous System Stimulant [EPC],Methylxanthine [EPC],Xanthines [CS],Central Nervous System Stimulation [PE],Full Opioid Agonists [MoA],Opioid Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
78	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	"Hospira, Inc."	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
79	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	Hikma Pharmaceuticals USA Inc.	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
80	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	"Teva Parenteral Medicines, Inc."	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
81	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	"Akorn, Inc."	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
82	adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	Sagent Pharmaceuticals	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
83	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	A-S Medication Solutions	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
84	ADENOSINE 	Antiarrhythmic	INJECTION	INTRAVENOUS	"HF Acquisition Co LLC, DBA HealthFirst"	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
85	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	"General Injectables & Vaccines, Inc"	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
86	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	AuroMedics Pharma LLC	ADENOSINE	60	mg/20mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
87	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	AuroMedics Pharma LLC	ADENOSINE	90	mg/30mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
88	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	"Fresenius Kabi USA, LLC"	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
89	adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	Mylan Institutional LLC	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
90	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	Mylan Institutional LLC	ADENOSINE	60	mg/20mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
91	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	Mylan Institutional LLC	ADENOSINE	90	mg/30mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
92	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	Gland Pharma Limited	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
93	Adenosine 	Antiarrhythmic	SOLUTION	INTRAVENOUS	Gland Pharma Limited	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
94	Adenosine 	Antiarrhythmic	INJECTION	INTRAVENOUS	"Medical Purchasing Solutions, LLC"	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
95	"Adenosine Injection, 6mg/2mL (3mg/mL) Vial "	Antiarrhythmic	INJECTION	INTRAVENOUS	"HF Acquisition Co. LLC, DBA Health First"	ADENOSINE	3	mg/mL	"Adenosine Receptor Agonist [EPC],Adenosine Receptor Agonists [MoA]"	HUMAN PRESCRIPTION DRUG
96	Albuterol 	Bronchodialator	TABLET	ORAL	Mylan Pharmaceuticals Inc.	ALBUTEROL SULFATE	2;4	mg/1	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
97	Albuterol 	Bronchodialator	TABLET	ORAL	Mylan Institutional Inc.	ALBUTEROL SULFATE	2;4	mg/1	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
98	Albuterol 	Bronchodialator	TABLET	ORAL	"PD-Rx Pharmaceuticals, Inc."	ALBUTEROL SULFATE	4	mg/1	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
99	Albuterol 	Bronchodialator	TABLET	ORAL	Aurobindo Pharma Limited	ALBUTEROL SULFATE	2;4	mg/1	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
100	Albuterol 	Bronchodialator	TABLET	ORAL	"Rising Pharmaceuticals, Inc."	ALBUTEROL SULFATE	2;4	mg/1	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
101	Albuterol 	Bronchodialator	TABLET	ORAL	Amneal Pharmaceuticals NY LLC	ALBUTEROL SULFATE	2;4	mg/1	"Adrenergic beta2-Agonists [MoA],beta2-Adrenergic Agonist [EPC]"	HUMAN PRESCRIPTION DRUG
